epoch	loss	acc	val_loss	val_acc
0	1.012997	0.689408	0.326071	0.911692
1	0.195222	0.940426	0.208314	0.924129
2	0.081084	0.978564	0.174715	0.935738
3	0.047968	0.988035	0.178555	0.935323
4	0.033265	0.991871	0.194011	0.929519
5	0.024914	0.994067	0.200306	0.928690
6	0.018166	0.996029	0.173992	0.941335
7	0.016193	0.996564	0.197797	0.935531
8	0.012303	0.997480	0.189714	0.929726
9	0.010929	0.998012	0.181758	0.941128
10	0.010106	0.997936	0.194474	0.935323
11	0.008795	0.998203	0.197596	0.935116
12	0.007602	0.998846	0.196679	0.941750
13	0.006781	0.998765	0.207500	0.946932
14	0.005864	0.998900	0.215084	0.941542
15	0.005414	0.999034	0.215347	0.935323
16	0.005198	0.999114	0.199725	0.941750
17	0.004889	0.999007	0.210456	0.941128
18	0.004214	0.999276	0.212005	0.935116
19	0.004488	0.999195	0.241284	0.940299
20	0.003980	0.999410	0.198103	0.941542
21	0.003557	0.999463	0.219444	0.935116
22	0.003926	0.999222	0.216474	0.946932
23	0.003301	0.999383	0.220278	0.941128
24	0.002854	0.999490	0.213589	0.935116
25	0.003644	0.999141	0.232650	0.935323
26	0.003536	0.999275	0.242102	0.940920
27	0.002722	0.999598	0.232827	0.946725
28	0.002655	0.999598	0.232515	0.941335
29	0.002683	0.999490	0.214018	0.946932
30	0.002376	0.999705	0.207590	0.946725
31	0.002743	0.999410	0.223539	0.941128
32	0.001988	0.999598	0.213832	0.946932
33	0.002274	0.999544	0.243944	0.941335
34	0.001844	0.999651	0.219722	0.947347
35	0.001774	0.999759	0.231509	0.941335
36	0.001488	0.999839	0.228629	0.947139
37	0.001772	0.999624	0.237432	0.934909
38	0.001839	0.999678	0.220920	0.947347
39	0.001656	0.999785	0.233509	0.946725
40	0.001873	0.999624	0.213874	0.947347
41	0.001585	0.999705	0.252902	0.940920
42	0.001673	0.999759	0.241472	0.941542
43	0.001466	0.999732	0.241968	0.946725
44	0.001538	0.999651	0.246102	0.941128
45	0.001483	0.999785	0.246757	0.941128
46	0.001329	0.999866	0.242043	0.941750
47	0.001349	0.999893	0.238303	0.940920
48	0.001241	0.999893	0.244027	0.940920
49	0.001293	0.999812	0.235315	0.941335
