epoch	loss	acc	val_loss	val_acc
0	2.536256	0.145558	2.302714	0.248649
1	2.298744	0.199433	2.087758	0.354955
2	2.055036	0.319471	1.820976	0.463063
3	1.797056	0.424386	1.614846	0.518919
4	1.602672	0.484877	1.414213	0.610811
5	1.379566	0.568998	1.232090	0.655856
6	1.237972	0.619093	1.063441	0.718919
7	1.088059	0.656900	1.002731	0.699099
8	0.997563	0.703214	0.902444	0.726126
9	0.878812	0.715501	0.786719	0.778378
10	0.782781	0.766541	0.714721	0.796396
11	0.726892	0.761815	0.690968	0.798198
12	0.708210	0.760870	0.651633	0.812613
13	0.608665	0.810964	0.613775	0.819820
14	0.582416	0.808129	0.562442	0.827027
15	0.571686	0.816635	0.513938	0.843243
16	0.520481	0.845936	0.499424	0.837838
17	0.491905	0.849716	0.494482	0.857658
18	0.464935	0.855388	0.450080	0.863063
19	0.449665	0.867675	0.439706	0.861261
20	0.403191	0.872401	0.417688	0.872072
21	0.379454	0.888469	0.433628	0.868468
22	0.354142	0.893195	0.378648	0.890090
23	0.362532	0.879017	0.376016	0.888288
24	0.333728	0.895085	0.356010	0.897297
25	0.309324	0.896975	0.371232	0.879279
26	0.293600	0.917769	0.361951	0.881081
27	0.279570	0.918715	0.366373	0.899099
28	0.271566	0.920605	0.328304	0.904505
29	0.227631	0.931947	0.301107	0.918919
30	0.254484	0.913989	0.323990	0.915315
31	0.251041	0.921550	0.286165	0.922523
32	0.217852	0.932892	0.275584	0.922523
33	0.220960	0.939509	0.295543	0.918919
34	0.231072	0.927221	0.276355	0.924324
35	0.234270	0.935728	0.264427	0.927928
36	0.220121	0.935728	0.305789	0.917117
37	0.201284	0.934783	0.264155	0.931532
38	0.188921	0.943289	0.261065	0.929730
39	0.171807	0.949905	0.261947	0.929730
40	0.195103	0.941399	0.254193	0.933333
41	0.208745	0.933837	0.222065	0.944144
42	0.153686	0.959357	0.248741	0.933333
43	0.156451	0.952741	0.244951	0.938739
44	0.186572	0.945180	0.239687	0.929730
45	0.164666	0.950851	0.208969	0.947748
46	0.158974	0.957467	0.209791	0.956757
47	0.136273	0.965028	0.214773	0.956757
48	0.140623	0.955577	0.183454	0.956757
49	0.137643	0.959357	0.231548	0.940541
50	0.133316	0.960302	0.201135	0.944144
51	0.110242	0.972590	0.201361	0.951351
52	0.137074	0.958412	0.202948	0.945946
53	0.113927	0.970699	0.193275	0.951351
54	0.112808	0.965974	0.201932	0.953153
55	0.140085	0.951796	0.181124	0.962162
56	0.123911	0.963138	0.184912	0.956757
57	0.112710	0.965974	0.194345	0.945946
58	0.112782	0.976371	0.189099	0.951351
59	0.100054	0.977316	0.230440	0.942342
60	0.123551	0.961248	0.205285	0.947748
61	0.122727	0.958412	0.171469	0.962162
62	0.119837	0.959357	0.192110	0.956757
63	0.084361	0.976371	0.170581	0.963964
64	0.096636	0.977316	0.189986	0.958559
65	0.100100	0.969754	0.186884	0.953153
66	0.098370	0.970699	0.200981	0.954955
67	0.092358	0.969754	0.168235	0.963964
68	0.089343	0.970699	0.165666	0.963964
69	0.094374	0.975425	0.181736	0.954955
70	0.090072	0.975425	0.196911	0.958559
71	0.099745	0.970699	0.167228	0.967568
72	0.083952	0.976371	0.171653	0.960360
