epoch	loss	acc	val_loss	val_acc
0	0.684823	0.781595	0.131660	0.960400
1	0.210550	0.935530	0.104281	0.966100
2	0.162533	0.949648	0.077488	0.976800
3	0.140313	0.957487	0.072659	0.975500
4	0.128321	0.960306	0.067905	0.977600
5	0.110485	0.966785	0.069223	0.977700
6	0.106632	0.966365	0.058245	0.979900
7	0.098869	0.969730	0.056644	0.981500
8	0.094173	0.971265	0.050077	0.983100
9	0.089362	0.972244	0.049966	0.983000
10	0.086316	0.973344	0.049706	0.983100
11	0.083175	0.974564	0.050891	0.983300
12	0.077572	0.975864	0.044422	0.985300
13	0.076554	0.976524	0.049080	0.984000
14	0.074845	0.977304	0.044403	0.985700
15	0.071154	0.977547	0.048977	0.983000
16	0.066226	0.978883	0.042467	0.985500
17	0.067997	0.979263	0.044190	0.984900
18	0.066821	0.979080	0.041543	0.985300
19	0.061273	0.981103	0.040416	0.986500
20	0.060666	0.980326	0.036817	0.987100
21	0.062690	0.981063	0.037492	0.987200
22	0.056338	0.981103	0.037539	0.987400
23	0.058464	0.981703	0.037152	0.988600
24	0.058493	0.981903	0.037868	0.987700
25	0.054742	0.982523	0.039119	0.987800
26	0.053875	0.982843	0.035571	0.988800
27	0.052840	0.983663	0.034740	0.988900
28	0.051483	0.984582	0.034663	0.988000
29	0.052466	0.982883	0.036670	0.988300
30	0.050570	0.984005	0.034184	0.988800
31	0.048549	0.984622	0.031576	0.990100
32	0.048668	0.984902	0.038239	0.988000
33	0.047649	0.985362	0.034449	0.988200
34	0.044780	0.985925	0.037402	0.987500
35	0.045258	0.985820	0.032559	0.989000
36	0.045703	0.986162	0.032030	0.989200
37	0.043287	0.986404	0.033535	0.987400
38	0.042999	0.986882	0.031962	0.988900
39	0.043672	0.986822	0.037524	0.987500
40	0.043878	0.986342	0.031092	0.989800
41	0.041067	0.987142	0.034236	0.987800
42	0.040347	0.987322	0.030106	0.989200
43	0.041481	0.987082	0.032000	0.989100
44	0.039360	0.987844	0.028828	0.990900
45	0.038611	0.987500	0.030127	0.989600
46	0.040063	0.987042	0.030311	0.990300
47	0.037304	0.988544	0.032553	0.988500
48	0.038007	0.988362	0.030882	0.989700
49	0.035997	0.988400	0.031996	0.989100
