epoch	loss	acc	val_loss	val_acc
0	1.590806	0.455657	0.879414	0.742368
1	0.630391	0.801475	0.281229	0.920444
2	0.356625	0.888411	0.185875	0.939254
3	0.244156	0.924552	0.186977	0.943725
4	0.178436	0.946320	0.112004	0.976411
5	0.139545	0.957284	0.102514	0.976565
6	0.115187	0.966021	0.101683	0.971940
7	0.092818	0.972781	0.090588	0.971785
8	0.077139	0.977937	0.095516	0.971631
9	0.069396	0.979866	0.079008	0.976565
10	0.059936	0.982928	0.075312	0.976565
11	0.055019	0.984809	0.102099	0.967160
12	0.048676	0.986083	0.102428	0.967006
13	0.042690	0.988758	0.091749	0.971785
14	0.038789	0.989294	0.077435	0.976719
15	0.037574	0.989481	0.096698	0.976565
16	0.036293	0.989806	0.086883	0.976565
17	0.032379	0.990632	0.083178	0.976411
18	0.029685	0.992120	0.100685	0.972094
19	0.027045	0.992481	0.077000	0.976565
20	0.026168	0.992911	0.088144	0.971940
21	0.022755	0.993634	0.111981	0.967314
22	0.022284	0.994144	0.093979	0.976565
23	0.021648	0.994321	0.102541	0.976565
24	0.020125	0.994939	0.074662	0.981036
25	0.020684	0.994469	0.078566	0.976257
26	0.017684	0.995156	0.100142	0.971477
27	0.016548	0.995732	0.081972	0.976411
28	0.018006	0.994831	0.082378	0.966852
29	0.016656	0.995226	0.092267	0.976565
30	0.016264	0.995590	0.127220	0.967314
31	0.014870	0.995807	0.111421	0.971477
32	0.014418	0.996383	0.111674	0.971785
33	0.014337	0.995988	0.101008	0.967006
34	0.012085	0.997179	0.102622	0.971785
35	0.013925	0.996566	0.102546	0.966852
36	0.012564	0.996166	0.091728	0.981344
37	0.013499	0.995915	0.117972	0.967006
38	0.011868	0.996998	0.097584	0.976411
39	0.009943	0.997432	0.090599	0.976565
40	0.012021	0.997038	0.099021	0.976411
41	0.010624	0.997106	0.085274	0.972094
42	0.010318	0.997251	0.100054	0.971940
43	0.010451	0.997290	0.139747	0.967006
44	0.009367	0.997432	0.102692	0.971631
45	0.010218	0.997432	0.093508	0.981344
46	0.007562	0.998084	0.105477	0.976565
47	0.009584	0.997541	0.088681	0.976411
48	0.007365	0.998120	0.120385	0.962381
49	0.008191	0.997867	0.114004	0.971785
50	0.009177	0.997685	0.096313	0.981190
51	0.008602	0.997830	0.093038	0.976411
52	0.007761	0.998158	0.095169	0.981344
53	0.008106	0.998011	0.105215	0.971785
54	0.005882	0.998843	0.109060	0.967160
55	0.007033	0.998264	0.111761	0.971940
56	0.007034	0.997975	0.128256	0.967006
57	0.008475	0.997759	0.109213	0.971785
58	0.005710	0.998735	0.091241	0.976873
59	0.006301	0.998517	0.088532	0.976565
60	0.005973	0.998482	0.106914	0.976411
61	0.005903	0.998481	0.091139	0.976719
62	0.006552	0.998120	0.136892	0.962226
63	0.006733	0.998229	0.092798	0.985970
64	0.005723	0.998698	0.117111	0.971940
65	0.005426	0.998699	0.119491	0.976411
66	0.005993	0.998554	0.115653	0.976719
67	0.005929	0.998516	0.119206	0.971631
68	0.005904	0.998663	0.109176	0.981344
69	0.006488	0.998409	0.107091	0.976873
70	0.005798	0.998553	0.129170	0.971940
71	0.005029	0.998699	0.111134	0.976719
72	0.005268	0.998554	0.114821	0.976257
73	0.005450	0.998553	0.116550	0.981036
74	0.004926	0.998807	0.114643	0.976719
75	0.004580	0.998843	0.136805	0.967006
76	0.004298	0.999024	0.103658	0.976411
77	0.005553	0.998699	0.153405	0.962381
78	0.004800	0.998951	0.105158	0.976411
79	0.004035	0.999313	0.089371	0.976565
80	0.004958	0.998951	0.149382	0.971785
81	0.005250	0.998626	0.107984	0.976411
82	0.004328	0.998916	0.126324	0.976719
83	0.005200	0.998300	0.123223	0.972094
84	0.004181	0.998915	0.122224	0.971477
85	0.003636	0.999205	0.109159	0.971785
86	0.003824	0.999132	0.129889	0.967314
87	0.004388	0.998880	0.134835	0.976565
88	0.004904	0.998553	0.108107	0.976411
89	0.003834	0.999096	0.109001	0.976411
90	0.004239	0.999132	0.106626	0.976719
91	0.004428	0.999024	0.099621	0.981190
92	0.004465	0.999096	0.119990	0.971940
93	0.003507	0.999060	0.095004	0.986124
94	0.003530	0.999096	0.115428	0.976411
95	0.004697	0.998663	0.103060	0.976565
96	0.003531	0.999169	0.108450	0.976873
97	0.002655	0.999566	0.113468	0.981344
98	0.003057	0.999349	0.114684	0.971477
99	0.003752	0.998987	0.114639	0.971940
100	0.003317	0.999349	0.116276	0.976411
101	0.003175	0.999168	0.107781	0.981190
102	0.003591	0.999132	0.149096	0.966852
103	0.003485	0.999096	0.121161	0.976565
104	0.003131	0.999385	0.191164	0.967314
105	0.003536	0.999060	0.133862	0.971631
106	0.003789	0.998988	0.119129	0.971785
107	0.003760	0.998878	0.112785	0.971477
108	0.003311	0.999241	0.135596	0.976257
109	0.002982	0.999494	0.118263	0.981036
110	0.002785	0.999204	0.140121	0.967006
111	0.002683	0.999458	0.129611	0.976565
112	0.003397	0.999060	0.161806	0.971631
113	0.002816	0.999349	0.121206	0.971940
114	0.003709	0.999132	0.126577	0.976411
115	0.003460	0.999132	0.103449	0.981036
116	0.003267	0.999277	0.121835	0.971785
117	0.002120	0.999602	0.114042	0.971631
118	0.002962	0.999277	0.107013	0.985816
119	0.002696	0.999494	0.125753	0.971477
120	0.002450	0.999421	0.112957	0.976719
121	0.002386	0.999457	0.122792	0.971631
122	0.002713	0.999241	0.115978	0.976719
123	0.002263	0.999457	0.133609	0.972094
124	0.002327	0.999458	0.116603	0.976565
125	0.002530	0.999313	0.113206	0.976411
126	0.002693	0.999494	0.128044	0.976565
127	0.002749	0.999241	0.107880	0.976719
128	0.002160	0.999602	0.142722	0.967160
129	0.002631	0.999349	0.152899	0.966852
130	0.002452	0.999349	0.166098	0.967314
131	0.002770	0.999277	0.113412	0.976719
132	0.002395	0.999277	0.128292	0.971631
133	0.002257	0.999458	0.137084	0.971477
134	0.002073	0.999674	0.105347	0.981499
135	0.002579	0.999349	0.135001	0.981036
136	0.003058	0.999277	0.132130	0.971785
137	0.002827	0.999096	0.127513	0.971631
138	0.002161	0.999674	0.108037	0.985816
139	0.002293	0.999639	0.101501	0.976565
140	0.001799	0.999602	0.115948	0.981190
141	0.002403	0.999494	0.138479	0.976873
142	0.001701	0.999602	0.118854	0.981190
143	0.001899	0.999530	0.128380	0.976565
144	0.002323	0.999313	0.106279	0.981499
145	0.002213	0.999457	0.115135	0.981190
146	0.001977	0.999602	0.123165	0.976565
147	0.002108	0.999349	0.127636	0.972094
148	0.001896	0.999602	0.149381	0.971631
149	0.002354	0.999385	0.123101	0.971940
150	0.001815	0.999602	0.117966	0.976719
151	0.002481	0.999494	0.106470	0.981190
152	0.002086	0.999566	0.126427	0.981190
153	0.003042	0.999132	0.169967	0.962381
154	0.002416	0.999458	0.110743	0.976719
155	0.002274	0.999421	0.124451	0.971785
156	0.001659	0.999675	0.128418	0.971785
157	0.002142	0.999421	0.121866	0.981344
158	0.001565	0.999675	0.122593	0.981499
159	0.002667	0.999169	0.143291	0.967160
160	0.001877	0.999566	0.136931	0.972094
161	0.001631	0.999638	0.127348	0.976565
162	0.001504	0.999675	0.120515	0.976411
163	0.001380	0.999711	0.121454	0.981190
164	0.001473	0.999747	0.134700	0.976102
165	0.001797	0.999602	0.145353	0.971631
166	0.001945	0.999638	0.134545	0.971631
167	0.001511	0.999675	0.120466	0.981344
168	0.002519	0.999385	0.109556	0.976719
169	0.001456	0.999747	0.125951	0.976565
170	0.002319	0.999530	0.137599	0.971785
171	0.001521	0.999747	0.142437	0.966852
172	0.002205	0.999458	0.121671	0.981344
173	0.002125	0.999458	0.184077	0.967006
174	0.001880	0.999638	0.147891	0.976565
175	0.001614	0.999674	0.138877	0.981190
176	0.001648	0.999675	0.133486	0.976411
177	0.001697	0.999602	0.153597	0.966852
178	0.001951	0.999638	0.139486	0.971785
179	0.001397	0.999711	0.148735	0.971785
180	0.001171	0.999819	0.114680	0.985816
181	0.001556	0.999711	0.119191	0.976565
182	0.001382	0.999747	0.119151	0.981344
183	0.002203	0.999422	0.150161	0.971785
184	0.001301	0.999747	0.158354	0.967314
185	0.001840	0.999639	0.118697	0.976565
186	0.001286	0.999747	0.141262	0.971940
187	0.002446	0.999349	0.138407	0.981499
188	0.001456	0.999675	0.134500	0.981190
189	0.001552	0.999674	0.125878	0.976565
190	0.001988	0.999494	0.131570	0.976565
191	0.001263	0.999819	0.140486	0.981344
192	0.001376	0.999819	0.110502	0.976257
193	0.001504	0.999566	0.116751	0.981344
194	0.001886	0.999566	0.136280	0.967160
195	0.001242	0.999819	0.119278	0.981344
196	0.001134	0.999819	0.139658	0.981190
197	0.001006	0.999928	0.149472	0.976411
198	0.001500	0.999530	0.159669	0.971631
199	0.001140	0.999819	0.127522	0.981036
200	0.001505	0.999602	0.144990	0.976411
201	0.001075	0.999855	0.140302	0.971477
202	0.001467	0.999747	0.116718	0.985970
203	0.001471	0.999674	0.129430	0.981190
204	0.001691	0.999530	0.140720	0.967314
205	0.001178	0.999783	0.132058	0.981036
206	0.001354	0.999638	0.128107	0.976565
207	0.001389	0.999711	0.127245	0.981190
208	0.001258	0.999602	0.114330	0.981190
209	0.001358	0.999602	0.107650	0.986124
210	0.002008	0.999313	0.125923	0.976411
211	0.001630	0.999602	0.124659	0.976565
212	0.001547	0.999530	0.120860	0.972094
213	0.001049	0.999855	0.136257	0.976565
214	0.001168	0.999819	0.154986	0.971631
215	0.001225	0.999783	0.132636	0.976719
216	0.001083	0.999819	0.144594	0.966852
217	0.001365	0.999674	0.117386	0.981190
218	0.000964	0.999855	0.144396	0.976411
219	0.000996	0.999855	0.122222	0.985970
220	0.000738	0.999928	0.117070	0.985970
221	0.001296	0.999675	0.124561	0.985816
222	0.001303	0.999711	0.131261	0.976411
223	0.000965	0.999819	0.120589	0.981190
224	0.000961	0.999819	0.111884	0.985970
225	0.001083	0.999819	0.162272	0.971631
226	0.001080	0.999711	0.122360	0.981036
227	0.001327	0.999675	0.137407	0.972248
228	0.001031	0.999783	0.124157	0.972094
229	0.001937	0.999421	0.151976	0.967160
230	0.001085	0.999783	0.195654	0.958064
231	0.001171	0.999711	0.135214	0.981344
232	0.000859	0.999819	0.133233	0.976719
233	0.000985	0.999819	0.127293	0.976565
234	0.001603	0.999566	0.132671	0.981344
235	0.000931	0.999892	0.156775	0.971940
236	0.001833	0.999494	0.131989	0.985661
237	0.001273	0.999783	0.133475	0.971940
238	0.000907	0.999819	0.129058	0.981190
239	0.001005	0.999819	0.123260	0.976719
240	0.000808	0.999855	0.183870	0.967160
241	0.000821	0.999855	0.177068	0.976565
242	0.001123	0.999783	0.137123	0.976873
243	0.001037	0.999783	0.152108	0.971940
244	0.001027	0.999747	0.143796	0.976411
245	0.001375	0.999675	0.140737	0.971785
246	0.001875	0.999530	0.148034	0.976257
247	0.001459	0.999494	0.142444	0.971940
248	0.001275	0.999747	0.156719	0.972094
249	0.002026	0.999422	0.159754	0.971323
250	0.000878	0.999928	0.147083	0.976411
251	0.001345	0.999711	0.127618	0.981190
252	0.000990	0.999783	0.148297	0.972094
253	0.001361	0.999783	0.143926	0.981344
254	0.001262	0.999675	0.139758	0.976411
255	0.000817	0.999819	0.141191	0.981190
256	0.001234	0.999639	0.143712	0.976102
257	0.001266	0.999675	0.136344	0.976565
258	0.000779	0.999928	0.130209	0.981190
259	0.001045	0.999747	0.175620	0.962381
260	0.001838	0.999350	0.130764	0.981190
261	0.001070	0.999819	0.129344	0.981344
262	0.001110	0.999819	0.135096	0.981190
263	0.001125	0.999783	0.152215	0.976719
264	0.001129	0.999783	0.146696	0.976411
265	0.000945	0.999783	0.136004	0.981190
266	0.001506	0.999530	0.134245	0.985970
267	0.001429	0.999711	0.145897	0.976565
268	0.000973	0.999783	0.148429	0.976411
269	0.000732	0.999892	0.133063	0.971785
270	0.000831	0.999855	0.145254	0.971631
271	0.001442	0.999602	0.152369	0.976565
272	0.001663	0.999457	0.128213	0.981344
273	0.001129	0.999638	0.151165	0.971940
274	0.000934	0.999783	0.152158	0.976411
275	0.001088	0.999819	0.149873	0.976411
276	0.000701	0.999855	0.154347	0.976257
277	0.000720	0.999855	0.135868	0.985970
278	0.001244	0.999639	0.141016	0.976411
279	0.000747	0.999855	0.161641	0.976719
280	0.000741	0.999855	0.126741	0.986124
281	0.000977	0.999711	0.155473	0.976565
282	0.000672	0.999891	0.150105	0.981344
283	0.000718	0.999855	0.149783	0.976719
284	0.000969	0.999747	0.122442	0.981344
285	0.000792	0.999855	0.132048	0.981344
286	0.000940	0.999855	0.133106	0.976719
287	0.000776	0.999891	0.126191	0.981344
288	0.000760	0.999819	0.137083	0.971940
289	0.000910	0.999819	0.140328	0.985816
290	0.000987	0.999783	0.132050	0.985816
291	0.000616	0.999928	0.130566	0.985816
292	0.000457	0.999964	0.141656	0.971940
293	0.000807	0.999819	0.185990	0.971940
294	0.000761	0.999819	0.153033	0.967160
295	0.000891	0.999783	0.159945	0.976411
296	0.000869	0.999855	0.163252	0.967006
297	0.000785	0.999819	0.136376	0.981344
298	0.000912	0.999783	0.138766	0.976565
299	0.000584	0.999928	0.139050	0.981036
300	0.000565	0.999928	0.152389	0.976565
301	0.000689	0.999855	0.136891	0.976565
302	0.000691	0.999855	0.183610	0.971785
303	0.001211	0.999711	0.148531	0.971631
304	0.000556	0.999928	0.134937	0.976565
305	0.001082	0.999747	0.129204	0.981344
306	0.001215	0.999602	0.144188	0.976257
307	0.000977	0.999747	0.124507	0.981499
308	0.001145	0.999819	0.123012	0.981344
309	0.000856	0.999855	0.130634	0.981190
310	0.000444	0.999964	0.131511	0.976411
311	0.000609	1.000000	0.135915	0.981190
312	0.000663	0.999892	0.134986	0.981190
313	0.001334	0.999711	0.143958	0.976257
314	0.000623	0.999855	0.144019	0.976411
315	0.001137	0.999638	0.140187	0.976719
316	0.001152	0.999783	0.130052	0.985816
317	0.001230	0.999675	0.141832	0.976565
318	0.001311	0.999638	0.129455	0.976719
319	0.000577	0.999928	0.126326	0.981190
320	0.001084	0.999747	0.116344	0.985970
321	0.000887	0.999819	0.127750	0.976565
322	0.000740	0.999892	0.141891	0.976411
323	0.000813	0.999747	0.129183	0.981344
324	0.000844	0.999819	0.112026	0.981036
325	0.001022	0.999711	0.148726	0.976411
326	0.001078	0.999747	0.123014	0.985970
327	0.000935	0.999747	0.121412	0.985970
328	0.000734	0.999819	0.124302	0.981344
329	0.001408	0.999674	0.116452	0.985970
330	0.000952	0.999819	0.125648	0.986124
331	0.001286	0.999458	0.150011	0.976102
332	0.000769	0.999928	0.137029	0.976411
333	0.001476	0.999638	0.136046	0.981036
334	0.000924	0.999675	0.121778	0.985816
335	0.001032	0.999747	0.128316	0.981499
336	0.000623	0.999892	0.133015	0.976411
337	0.000704	0.999855	0.127863	0.980882
338	0.000734	0.999819	0.114915	0.985816
339	0.000521	1.000000	0.129855	0.981344
340	0.000631	0.999855	0.111772	0.986124
341	0.000492	1.000000	0.125689	0.981190
342	0.000686	0.999855	0.134612	0.971940
343	0.000910	0.999783	0.130411	0.980882
344	0.000538	1.000000	0.125982	0.981036
345	0.000743	0.999819	0.117726	0.985661
346	0.000502	0.999964	0.120480	0.976411
347	0.000768	0.999855	0.127266	0.981036
348	0.000446	0.999964	0.128536	0.972094
349	0.000544	0.999964	0.128624	0.976565
350	0.000539	0.999928	0.133704	0.981036
351	0.000733	0.999819	0.126144	0.981036
352	0.000518	0.999928	0.119675	0.985970
353	0.000608	0.999819	0.120659	0.985816
354	0.001163	0.999710	0.127249	0.985970
355	0.000505	0.999892	0.124869	0.981190
356	0.000717	0.999892	0.123333	0.981190
357	0.000828	0.999855	0.167432	0.971631
358	0.000722	0.999783	0.116221	0.985970
359	0.001297	0.999602	0.119327	0.976411
360	0.000456	0.999964	0.123405	0.985970
361	0.000595	0.999855	0.131750	0.985970
362	0.000882	0.999747	0.112992	0.986124
363	0.000830	0.999855	0.122899	0.976565
364	0.000841	0.999783	0.137224	0.976411
365	0.000509	0.999964	0.129013	0.981344
366	0.001175	0.999711	0.122652	0.985970
367	0.000917	0.999783	0.141493	0.981344
368	0.000569	0.999928	0.163894	0.976411
369	0.000565	0.999964	0.134460	0.971940
370	0.000492	0.999964	0.129038	0.981344
371	0.000895	0.999638	0.145376	0.981190
372	0.000906	0.999783	0.159064	0.981190
373	0.000592	0.999855	0.126372	0.981344
374	0.000686	0.999783	0.139610	0.981344
375	0.000788	0.999855	0.143938	0.971940
376	0.000766	0.999855	0.131831	0.976411
377	0.000686	0.999819	0.146132	0.981344
378	0.000570	0.999892	0.115903	0.981499
379	0.000887	0.999747	0.136242	0.981344
380	0.001301	0.999747	0.137441	0.981190
381	0.000892	0.999819	0.154938	0.967623
382	0.000726	0.999819	0.126740	0.981190
383	0.000401	0.999964	0.128287	0.981344
384	0.000723	0.999855	0.145506	0.971940
385	0.000482	0.999928	0.139862	0.976565
386	0.000777	0.999819	0.133270	0.981036
387	0.001125	0.999711	0.128042	0.981190
388	0.000865	0.999855	0.133635	0.981344
389	0.000528	0.999855	0.133703	0.981190
390	0.001474	0.999530	0.132091	0.981190
391	0.000860	0.999783	0.117236	0.986124
392	0.000668	0.999892	0.141847	0.981344
393	0.000473	0.999928	0.131756	0.985970
394	0.000422	0.999964	0.139328	0.985816
395	0.000441	0.999964	0.149643	0.976411
396	0.000291	1.000000	0.131634	0.985816
397	0.000368	0.999964	0.135156	0.981344
398	0.000530	0.999891	0.129715	0.976411
399	0.000658	0.999928	0.143617	0.981190
